to be getting on; стареть (get)
get off on something; enjoy something (get)
to be on speaking terms; продолжать общаться (мы больше не общаемся) (terms)
to be on good terms with; быть в хороших отношениях
to hole up; прятаться
bailout; финансовая помощь
worthwhile; стоящее потраченного времени
worth one’s while; это стоит потраченного времени
penny-pinching; скупой (with a reason) / прижимистый
stingy; скупой
flashy; show off
skint; без денег

child maintenance; child support
short-lived; недолговечный
remuneration; денежное вознаграждение
first and foremost; первое и самое важное / прежде всего
alleviate; облегчить, смягчить, ослабить
eradicate; искоренять / вырвать с корнем / уничтожать
malign; пагубный
tug; тянуть
lid; крышка
to flip one’s lid; сильно разозлиться
